"name","citationCount","citerCount"
"Eugene H Blackstone","0","0"
"Eugenia Buta","0","0"
"Eugenio Regazzini","0","0"
"Euijung Ryu","0","0"
"Eunsik Park","1","2"
"Eustasio del Barrio","0","0"
"Eva B Vedel Jensen","2","4"
"Eva Petkova","1","4"
"Evarist Gine","3","6"
"F Ballani","0","0"
"F DuBois Bowman","2","7"
"F F Gan","0","0"
"F Ferraty","1","3"
"F Gosselin","1","2"
"F Javier Giron","1","3"
"F Jay Breidt","4","8"
"F Liu","3","12"
"F Maaouia","1","1"
"F Zhou","0","0"
"F Zoe Moodie","1","3"
"Fabienne Comte","0","0"
"Fabio Corradi","0","0"
"Fabio Trojani","2","5"
